2025-01-24 12:14:51 root         INFO     Starting GetRecords Consumer
2025-01-24 12:14:51 botocore.credentials INFO     Found credentials from IAM Role: LabInstanceRole
2025-01-24 12:14:52 root         INFO     Read User Session {'session_id': 'd3be8354-34b7-42a8-8494-a09622389006', 'customer_number': 367, 'city': 'Stavern', 'country': 'Norway', 'credit_limit': 80730, 'browse_history': [{'product_code': 'S24_3191', 'quantity': '4', 'in_shopping_cart': True}, {'product_code': 'S18_3136', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S12_1666', 'quantity': '7', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49659895913772740756326884537126150057672975704261656578
2025-01-24 12:14:52 root         INFO     Processed User Session {'session_id': 'd3be8354-34b7-42a8-8494-a09622389006', 'customer_number': 367, 'city': 'Stavern', 'country': 'Norway', 'credit_limit': 80730, 'browse_history': [{'product_code': 'S24_3191', 'quantity': '4', 'in_shopping_cart': True}, {'product_code': 'S18_3136', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S12_1666', 'quantity': '7', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 1, 24, 12, 14, 52, 414522), 'overall_product_quantity': 13, 'overall_in_shopping_cart': 13, 'total_different_products': 3}
2025-01-24 12:14:52 root         INFO     Produced record 49659896348369663185291763940667570059322778498776432642 to Shard shardId-000000000000


2025-01-24 12:14:52 root         INFO     Read User Session {'session_id': 'e5e2e795-c988-4900-b981-4c2e60f1990b', 'customer_number': 397, 'city': 'Kobenhavn', 'country': 'Denmark', 'credit_limit': 93786, 'browse_history': [{'product_code': 'S24_2011', 'quantity': '10', 'in_shopping_cart': True}, {'product_code': 'S72_3212', 'quantity': '4', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49659895913772740756326884537554109797816554775705026562
2025-01-24 12:14:52 root         INFO     Processed User Session {'session_id': 'e5e2e795-c988-4900-b981-4c2e60f1990b', 'customer_number': 397, 'city': 'Kobenhavn', 'country': 'Denmark', 'credit_limit': 93786, 'browse_history': [{'product_code': 'S24_2011', 'quantity': '10', 'in_shopping_cart': True}, {'product_code': 'S72_3212', 'quantity': '4', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 1, 24, 12, 14, 52, 432707), 'overall_product_quantity': 14, 'overall_in_shopping_cart': 10, 'total_different_products': 2}
2025-01-24 12:14:52 root         INFO     Produced record 49659896348369663185291763940671196836781622386300551170 to Shard shardId-000000000000


